id,label,pred,fold
4,6,6,0
5,4,4,0
6,0,0,0
7,3,3,0
8,12,12,0
17,0,0,0
24,7,7,0
27,6,6,0
29,10,10,0
31,11,11,0
33,0,5,0
44,2,2,0
51,9,9,0
63,0,0,0
67,3,3,0
72,12,12,0
75,5,5,0
84,9,9,0
85,7,3,0
87,11,11,0
91,2,3,0
97,2,2,0
109,8,2,0
110,2,2,0
118,0,0,0
119,4,4,0
122,6,6,0
123,2,1,0
126,0,0,0
129,6,6,0
131,2,0,0
147,12,2,0
148,11,11,0
157,11,11,0
159,5,3,0
165,8,8,0
171,2,2,0
174,2,2,0
175,2,2,0
177,4,0,0
185,9,9,0
186,9,9,0
189,7,7,0
196,1,1,0
198,5,5,0
199,2,2,0
204,6,6,0
206,2,2,0
210,1,5,0
220,8,4,0
222,10,2,0
225,5,2,0
231,9,2,0
241,4,1,0
281,2,2,0
285,6,5,0
286,0,2,0
295,2,2,0
304,10,8,0
306,2,2,0
308,5,2,0
314,2,2,0
321,2,2,0
333,1,1,0
334,7,7,0
341,5,5,0
342,3,3,0
344,12,12,0
352,8,8,0
354,6,6,0
363,1,2,0
364,5,5,0
365,11,11,0
368,3,3,0
369,9,2,0
371,4,4,0
375,2,2,0
376,8,6,0
377,10,9,0
385,2,7,0
387,2,2,0
390,1,1,0
394,4,4,0
400,0,0,0
407,12,2,0
408,9,9,0
412,9,9,0
420,9,9,0
424,5,5,0
427,11,11,0
435,11,11,0
441,6,6,0
443,2,2,0
444,3,0,0
448,5,5,0
451,0,1,0
452,3,1,0
460,3,11,0
463,6,6,0
464,2,2,0
468,10,10,0
469,4,9,0
470,0,1,0
486,2,2,0
487,2,2,0
494,9,0,0
503,2,2,0
506,4,4,0
513,1,1,0
519,0,0,0
521,10,7,0
523,9,9,0
538,12,12,0
539,1,2,0
543,7,7,0
550,3,3,0
553,6,3,0
554,3,11,0
561,11,11,0
567,2,4,0
569,2,2,0
579,5,5,0
586,7,9,0
597,11,9,0
601,5,5,0
608,1,1,0
610,9,2,0
620,5,5,0
628,8,2,0
643,9,9,0
646,0,1,0
12,2,2,1
15,4,4,1
21,2,5,1
34,2,2,1
36,12,9,1
46,1,4,1
50,11,11,1
58,4,4,1
60,4,2,1
62,11,9,1
69,0,0,1
70,11,4,1
76,2,3,1
77,0,0,1
78,2,2,1
80,7,7,1
81,9,9,1
82,9,6,1
90,3,2,1
111,5,5,1
112,8,6,1
113,9,9,1
115,12,6,1
120,3,8,1
121,2,2,1
130,6,6,1
139,9,9,1
140,6,5,1
145,9,9,1
150,9,0,1
153,0,0,1
154,10,9,1
167,2,2,1
191,8,8,1
202,12,10,1
212,11,11,1
224,7,7,1
233,5,5,1
246,2,2,1
248,1,2,1
251,9,2,1
253,5,5,1
262,2,2,1
265,10,10,1
272,4,2,1
276,5,5,1
277,11,11,1
283,5,2,1
289,2,2,1
290,1,6,1
294,5,5,1
296,2,2,1
299,0,2,1
301,9,9,1
315,1,3,1
316,9,9,1
319,5,5,1
325,2,2,1
329,0,0,1
340,8,8,1
345,10,10,1
347,8,8,1
350,1,2,1
351,6,9,1
356,2,2,1
367,12,12,1
372,0,9,1
380,9,9,1
383,2,2,1
388,6,9,1
391,2,2,1
396,2,2,1
397,11,1,1
398,2,2,1
403,3,3,1
406,4,4,1
411,0,0,1
414,2,2,1
425,2,2,1
432,7,7,1
433,2,0,1
436,1,2,1
438,0,6,1
440,4,1,1
449,6,6,1
462,3,2,1
475,1,1,1
480,10,2,1
481,0,0,1
482,5,5,1
489,12,11,1
490,3,2,1
498,12,12,1
500,9,9,1
505,7,7,1
509,9,9,1
512,0,6,1
516,2,2,1
517,8,8,1
528,8,8,1
530,6,9,1
533,5,5,1
537,4,2,1
540,6,6,1
541,10,10,1
546,3,8,1
547,0,2,1
556,1,0,1
562,7,7,1
563,11,11,1
565,2,2,1
566,9,9,1
568,4,2,1
570,9,0,1
573,11,11,1
576,7,7,1
581,2,2,1
590,11,11,1
602,0,2,1
603,5,5,1
607,6,6,1
611,5,6,1
630,6,6,1
631,6,6,1
637,5,2,1
639,2,2,1
641,10,10,1
644,3,3,1
649,2,2,1
650,3,3,1
651,2,2,1
1,11,11,2
9,2,2,2
10,3,3,2
11,7,7,2
18,6,9,2
23,0,9,2
26,4,4,2
28,12,2,2
30,9,9,2
43,11,11,2
45,0,2,2
47,0,6,2
48,2,3,2
49,6,9,2
53,8,8,2
59,0,9,2
68,9,9,2
74,6,6,2
83,9,9,2
88,12,12,2
92,3,3,2
93,11,11,2
95,2,2,2
100,2,2,2
107,4,4,2
114,2,2,2
117,2,2,2
133,5,2,2
134,4,4,2
135,10,2,2
137,7,7,2
138,2,2,2
141,5,5,2
149,5,5,2
161,8,2,2
170,5,2,2
172,2,2,2
176,0,2,2
187,2,2,2
188,1,2,2
193,2,2,2
194,5,5,2
195,2,2,2
207,1,6,2
209,10,11,2
213,2,2,2
216,10,10,2
219,11,11,2
226,0,0,2
229,2,2,2
230,7,7,2
232,2,2,2
235,1,1,2
239,5,4,2
240,12,12,2
247,6,6,2
252,2,2,2
255,2,2,2
256,1,1,2
263,4,4,2
270,2,2,2
271,0,0,2
275,4,2,2
278,9,9,2
280,12,4,2
287,8,8,2
293,3,2,2
303,0,0,2
